,index,Job Title,Company Name,Job Location,Salary,Job Type,Job URL
0,0,"Architect, Enterprise",Giant Eagle GCC,Karnataka,,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B9Z5kUrYpJSl1jY-NmjPX7HlwbyZlOtE5lNuYxyWYp6wH4w4oCjnyWj2mpoyouuSa3zdazzdopApVWX8kOezezd2tb4Ldpj5SedHuLZMu9W7W9dF-Ob9yCeOj3SBJ0AZWfJ8CjCJVdvYKg7ElTTtDnCl_U313ooQzUFEqb8BQtBMHxDb1FO2aQxSuREyIabalUe4RlilKWPJT9BVDpRLyAqnLboz9i_cRnGG5h-9PBIEH0ErmXvniInkN649MnvlSC25Ejve8QxeKtYT9ezXmv066tunGV4jyWcS9Z7wYqgTCUZidEqRUtXtX3Knc3dCBe-YpcvR-FB9c1uUc9acM6lYTdL5hoQ6ubZd6Wkta6vtSH_-_3QpaKqbeyaixyO05HqZj-Yw3r7WbduiN4WBziVS7j_jHt-820ZXf_eAjebVE0TCLyeQUMnO6dWaLa-WULz3Tnqa55yxbMlKs6ryEhHFp26izOL87sYV6K6d_YMjXyLy0_bNw34C3HGN9MKiBcajFt0SN7ydsyelZIQ98T2NYOeQxjevIGy1NrtiVp6532WOhBLTqs56PL_cu0TPtFXjpNEuotJ9nxpOt6CT1Iff6dJqlgo0EUrMevIsSMgCfdBhB4AIOTjudkOoP9C26zwtU3M7Vl3g==&xkcb=SoCK6_M3GSicP7gHvj0LbzkdCdPP&p=0&fvj=0&vjs=3
1,1,Experienced Software Engineer,BOEING,"Bengaluru, Karnataka",,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D63QRoR8NHes0BU6XF05SdLAJ2qRn_ksMIVtdRlLGFB9iUONA4FrCC6w33WEuBxmZeObI-6j6NoGpUs_6m90CBFCGLU8xxUPWl2Hh6hWTwAXFx28OSZZVHC-XZ9AKxxIM-dXHfdhvU5DhYR_7aK_6lRNwdJhia8mOP5YBJ_-e0ZPKvLCyxp6HvWfgyfnGHqyuNH_-w4DemUH_YPumAF3O7ml_HGz1sP2XwgGDobnRn0jmT4acHzw3UhyfcvqdX2-h-kG1swGLugTCPnV1w4tGKTjayeaA1kTAIYz85Ex_kXox-2UP3c2xUN0IfkQjaTixkj7X41rIkTnfBAcyYaXHqg1Wj0_KwUF-xb-yc2_0zW3A9ra6XhwfZ3vCVcMFHYh3OX_iPCgCktib2426RN2ds-CmIKUqNz29DysEuZhQhd4IB01EwZClCmueB5a3gmyEUyPbpzpDU5GWfwG_ShtXoGluW0yd6pC7Tv2XtLZTH-a38VEuxagTgnOFYUSa7Q3PU80ByTM7KrSd9ngI_Us2viR_rsE9FkmFg-8YZZ0I1lyPilGdIZFF_W0QOLgpxYonjRIQ0g1Sv6FciS2bzHZqYofs4gXt0pPo_rfOiiX122UEJ3-vI4joHzbZEFqI9AfzysIeRGHz_Rj9X1dAKw6IGFkApvR-Fr6UwCis71cBroLVfQ0TSY0B_-BgUNz5fqS5Fmw86tmLDsPZj3ZNVY5R9ur3Uo54d1WiIluJINtDFWAYD1TrvGnSPuJplgfYmQMZxebyrDCBa78zPn7FWtYfkDuGS_uKlxyz4t6sFvSCTyHwYbV-WiUOsiMe3jME1WM-DjYZizNAKVowrJzbRfFUE&xkcb=SoA-6_M3GSicP7gHvj0KbzkdCdPP&p=1&fvj=0&vjs=3
2,2,Business Transformation Consultant: Application Automation,IBM,"Bengaluru, Karnataka",,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A1u8bTWCARd0OzCl_mkgugKCdKaSDlOzxcAo87zAsvVSmtxaOj2e9qYuTXvO2e6_P-GhBc2wTFXeaYIqZRY8znDFWRVTldSoYxQayK_EQO6hYv8y3RDg9c0v3NFUjgzWtZJeCswMSb1nNLCqzdHbjQ3pLZdAq76dQvESuppW2lJ-bs1vX3St0BlVX3nIm_ja_Z5tmJV7X4L1IA011-o0m7TkbFmqWVK6pF7ai3U2owUjS4dXxdq-IgqA0Oea7d7vfLXFCkckMvCsTogULlVhKaSi5nJZagNh0qAdUNBbBsGPaRhGmVQX2Sl4drOjUVW0lchbnknDIJp8GGMSqM8oHV8j89Wj6XUCGo29VUJgP_aOuOxrDrshNl258YdDYWz69D2cOiW08cBRFSFJCO93VpD_ZqGQJkrjTSbmWWYvuo3GmTmQg6_-UflkoRG03SguT954Ww9VPKP_Tb4of-lasBGZzR42FwiLtKM6gwJZ3lM44_EUcZ1HGPIxtw9z_sIncjjqjpfYxR73kzRdXfhjsomxmyA69WXQJz_lVSH5h4gQWHETug-5OCc_1QnuQUladJ6E1C0AbJ2jbOZhttI-5tIrzfNGfW35zjN3a6cXsiiMVrtyS2V2M74MDRf0x0l0g=&xkcb=SoCj6_M3GSicP7gHvj0JbzkdCdPP&p=2&fvj=0&vjs=3
3,3,Data Insights & Analytics Analyst-1,Telstra,"Bengaluru, Karnataka",,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CdG0mlcq8sM0kM4Z0XjE22y1IvS4TfdSBI7lJNBQS5z7JpQ3_4tlP2Z1SxCDGvrdlkhi2FR0gNP9vdHt4f7V4Oo3ytjWPY11G7PDj_8Wf2Hd--Rz4n7SvRrRn7cuy0om2ChXiL4nq1q9FUsyVuJOGUEkYl_JDS2CLywosuEDPbafRDzltuhPqLNaH_l_azk0ZVVS_L947l08b4oqFohcMVjSoudMKuA3eH09y3Ii8h_-5iZKG-Vi5UZ9tPGRK-SgPRyPlm1Pj38Wb9iZoPpEzXz3IEHIxPcwVBTM-6Z0AHGWbVmVrGiZMbVmKffOF3wRDl3g9lnv2fw56G2tfCzL_8xNBFvdhmGWAkR-pwRkB89gYpLk9FJ14cTGoubMcilB-H4WoQCRUyr_JrLW4e5AHGIJzBnTKHu_vXe7o6jCP73IKF4OHjG78MqJe5S_Xj4gXJP40k2EU6hHsajg7C8ZbIsgf4DdeCjoOiFiQ71ca32tvHF3aiGqIPUusBzWuTvPiLyRK5ATcXQ59-JFhk9nVhAWnBhhExW5hnVMmUINRKm6rQUfNFh-6ibPA3es2XIjy9mJSxhmjC9m-6Su1pPCWoUc7IQcYGI5p1KCMr0XHL347AAyUX6-65iNGLTXVue2cPYD_KeJyBRb4xsTw0fet_7B4VunZXI9i0uHeN9EW72mqE_8emo4Qp1ZcCwV27B2GXx0Rxm6GZTK22r2ZmxjjoasFnKHN16K0jQwy6WOYP4YmG_w-4UhrDKfaX9etP3ExFZieMhMIz4fAw7cSIULEa&xkcb=SoAX6_M3GSicP7gHvj0IbzkdCdPP&p=3&fvj=0&vjs=3
4,4,Senior Engineering Manager (People Leader),Capital One,"Bengaluru, Karnataka",,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNR2M821dYWEuCwYREswJhDHnG3aBtlmnpPP9GuGktlzxosPmwLiNrajwojUGdWmt_fsNBjvMtOceP1WJ9OZ-E-ZmNdgOFtgL2-3FnIi8qF_p_Frc1JU4QKZEXVvhLLp9IQ3YTzopXMG8jtGmpE2HYJqj7HnnpF5Kil7IC_4WG03EWhCL_H0ZgHlcAdMvyds6AAnWCPGtd_F2rkCgQ4aIjrz3Pb7wPzh5hdyr9CgS04EOqzzicmOfxTxDYjlxR2TfYnsXU_h-BvHhTNg8E9QdNrTmFNmKJCSRni17eXh7oSHA_VpFBFbQ1s0k9I_yYma7Sh1MWBpPC6W-YIKHX-hA6RTDRqIijNcLKFzcM_N_u7Yr_kDpwnNmjyJWdtJeuKCLkzNiVGRUxNbJd79_gxSG3hKXEvM1T17jgBX7VtH4u-pKT0IcrFy9rYTIpNhEcwTtUAH0WecOtH6aQcqkO4uGZB8P_PzRkPMLuUSSyfOfJgKmSMZ4YL-RHJ4z_7O5Xx5icOwojeIxQ9jA1Kss9DQksQ5YD-tV-f5wk9fLmv4pLlmt-rBShA_1L8vpsvv4JMKYQtWMasq-gpniRwyf7RaUHkmjqfkBQ414Lnfu0efWjEJWsgkgb3DK17ln-3UXgaS2TqUih6UvtdPKp7NjfKH1nBhvfJqP4OKEeHZzFkby5D9wMoya34AMmuaXoR20tJ_i04YpLgHWAxYh5Tpf0N_kUvg6Bnwee7RSZmgWSiuJZL64-k5cc1YHg32_tRH3z_vHZHKb2hGhq5b1&xkcb=SoCZ6_M3GSicP7gHvj0PbzkdCdPP&p=4&fvj=0&vjs=3
5,5,"Advisory Consultant-GenAI(Java/Python, Artificial Intelligence, Machine Learning)",Dell Technologies,"Hybrid remote in Bengaluru, Karnataka",,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tb_xo6eqrhcM9U0QANPz7Ab0169DwUcSd1Z0Snzb6HMpsqxRPler0FTr1YsA7xhc769yHotHvFSjITpsd9Qb7y_ojqLtyyVHBoOaVxWPCr7gynTxBopRcvV1Lf2k-1S66nk29xHMLggDvuq3x7TKbl6sOwQc0vsCvrNszLpRKaDA8Sjz7eGv5xyF8aFs_ByNJoJ_QZDCoISwTBNY3sQnqmHe_o1wvw0HnLa4bbHH8JtEGV_aBS4WlRwng4H7w3dZuBCiootU4W1uvyL2sTUyBoJ-hlO90Sqrlprp9rWD6tiyodxwHbxZ0TmNQTuFEn1mj556dRmffkzhNAquUziZLaTJxnDjDwXWYBGP6Ma21zdvGNhv7ItNJwMvS_DosAlO_VrgXg73-G5eGt6a8X4r61kuaQZwx2IITsYimGywj-YstOnlH0kx9KWWUdIW5lDidOoe1JMmVxZ-sJSPRH6sTGDqkKOJUQdCMY6JShBCTtVunYtuh4RWC6RIeFIOBvOKto68qPxCYFp-3bXeymzTZJnj3hjQQyaqZk0--lLz3Gqz5CIPwIII-DVqFCZtBgrntUOcHdbwyO5h0H-G-US4tCmiS_B5G_CgBGsI_koBcTd6SNAB9vUyCp25bvMCSC1DVS0MScfWaVgWAdXJY2sZtAgOWp9dZBqVVrWGeZ7t27adT_vJ2VogdPT7D-Cw8wpv-ush8tBlCvoMEa9PHoB6wqDOLAJ45IOc0obwxzevoBb5OuCn-SzKIR-Y7HSQcHSYthYt8z_89Nr3fJmQxY9e5RZoNZWBMwcgyOMSLK3G9b-Tt_JdM7wUSsmFjZ0lFMEN3FA_hzcWAhfrAJwB1dHG1CcGXo2PmF0F44uTKF9-NDqetOllfoN33gz3GZ4PcXmEOWhSdm46riseq5sV6tUOajrDz7BFic0vL4eQyCJYVVBVKAvVVrjHmk7pzLRWgmk6_bUYLzWOhSjXIRpnTHIuo0FNbnamVCl9zPETuXwg2SIHAc1WT6Edwgw6uj5_lGdsEV_vaDS0qu4URKGgXyLvGoqzU6VJH8TOKu-2dduUswtxz6_OeW6SkVBa2OTdPvcR3uh656piw_zcbkfffaSza8b4hO0jVg0JMyKj0HR8ZHIuzSh2SGG89x45J3E0ZtkPKmrRXc0Yx2yWy2FQN8jhA--SU2_wilpn1xsnm9-n-f4GLIJff_OYGjdbSCpYidXIvHMx2sDoO7HgQRBiNZgxxyApjnhxEg4Auw==&xkcb=SoAt6_M3GSicP7gHvj0ObzkdCdPP&p=5&fvj=0&vjs=3
6,6,Solutions Design Consultant - Data Science,Affine Inc,"Bengaluru, Karnataka",,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BwZMfw7SBti8H9wJxwEoDSEEftgvq2JLfMR0Gb6nUhDtGAYDflPfwGfVc8dYPZ1NDqJWxVpK3LGe3n3uyyK1Qvpwrz4kDILSzLT_lr89wU5-sv3RMiIKU1rqhSnOS5ho_V1wbFc9kKPUlgDDT8jGlBvclljIFp44iPF02eBRQ1DZ-EzRQeP9JSNGHVj-UB9ijFUjiXCSlkhRiY2azuWFlHAwpFzejODJcHEac0p3YPLpMHwID5ruNl8GMDb4Oa5FzGVKtHsCTBuiocToFwyAzGtV38qAR-IbL_PP2xV3ejQWJpXSeVvpocGOEPZRUoPpl0i5TMs6YlGe6quTBssxtW3z_trWiKmDw3gogBaAkAaq62TU6jQdo4c-QszlR75vZHKScMsaKwcVvfRW_6j5TXoTEhT169dUQ8LybzmSTVkW6D9YhmibXVJJkeJZXWr5LDF4lCSaOpmEjy64oIH5WVm12pS9wJnnzB5RxR43LER5N2W5Wss5u3axiFOP94BCyo4VW4iTU0Is_p1SYChd0dpJMn54fLCuWisWi9gUKANhUlMgmSq-PTJT200xk9ezFMI3RWoK5vbV_ELmutxiUAH3d-Hc5wUqvWZLEvLwOTv4I75JoetC6THiN7joi1FkYMROcpZUTCKaY6ZHtoak58vQxwoge50po=&xkcb=SoCw6_M3GSicP7gHvj0NbzkdCdPP&p=6&fvj=1&vjs=3
7,7,Cloud Security / SecOps Engineer,Pearl Technologies Ltd.,"Bengaluru, Karnataka",,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A7_pxhtDqa97PjiqjSU3RI7TYWXRVAE9MhnZ-CcfEL4dxnBpL4P71lfgxbiysLC1ZwhSY2gHUbIWaAJnh0Pd2xvsJSvmR_6KXAsjtDVGWFkQYtPzJ2nPayojhmk77uIgHy4h6Xah14SEhlEuEgoODbQ0i4IhAWPqGymiSxgwCEga0RwaLFP9b6olUFcRcqGfyPwh95jkvSDfUdTcnHPO6C3WMf-c0Ro9y8lZrxgUy7jV-PaB2Eng5wK4H-Klz620t2a1PXU8CJUyQtobNMcMeAFR06BnLqCScmiB_DKI-hCMBuGB4ngd0lu7jL27S4XATcmYx7M3mHLfJwgc24M3ixjmIQx3vQPo_KGAj-VbXSPiMDtQWIYTGEowtgvk-LZRvPVxtlMigGleJtVaYQFL1svCKEr4Vt-aLprZKuhhadtV4CHwe6GJGPMPq9b9tWn547i37suJZkDWpnk6S1B--a9kgflRe4IAVjnQoKTJK1N-wx-5bN77ZLGGtIn3O2YYx8UMJxwCn5x9D-Sxt8-sVW3FlnFtw2JKjw8y0YjHx0vbAsFdn-m5TVID60av4XZ5Bs_EZDS2gkSEvDeWZR9BPowVTgid38xYEYjND1NPRU49lAlDAQELymt9GxgRUMBg7Yvz-72NegF8_W2NxPiqQXC8rSx1e35Mk=&xkcb=SoAE6_M3GSicP7gHvj0MbzkdCdPP&p=7&fvj=1&vjs=3
8,8,Avionics Test Engineer,Actalent,"Bengaluru, Karnataka",,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChYVx_I3yfZ_JDY3EFoivtqvi_stwnZ_kRt8Dowt_l_Z0IdIr5lRTxBES6tsgEGBnbjL5XljSs337QLJMpEODUQVWggb8tGBjRlrmP9XdNH-2Ts1il4_5YJQhD5_GifJ_rcnhAI_xPr7WggaXDtyETg7z43P8FWZwllA97C9rwidmkMCLBMZAl6QyPN3rEcZAvPsPKmfLo1-DBBLxxwlq1NvYZSBgGcs_Pv1j_pWpkOnFti1TnoWifrtt3a7Js0c_8V2f5GDv7g7F1s1UzJQsOzky0gyNteaxccSOyndURnt79EaJFfVH6uWHIIZpEywV4ihfwqGTjfOJ3uTOje-AR3r4TTbs4Fb6jRaUnXIAKAq8AJoPBQCQ3FkLvDOnJO311cQ0HgK6zLP2p5t5bTHgoeg4h4JcEaj9_zBmsxG28QjXavnSLGwUKuc9F2Sg2aEubCavQvo6Lzh-58FvLTQO-zFOlT-EhDJhE_bZaLP8H3P1IEEV7ph22nGumCjsk-gUU7WEQrLZZRiqpdyX0omSvjVDEWm_LbixZSnqfk8moMC8Dy3rh6AXzhSRE-lCnin2jCfqAvkxhuwD747SF30i_p0kduHZ3yBb-7rTYZZG90ncvkVpwUhSsYxgPp02o7Lw7AIOsOx02XpxyM9ZBH3idrj2crIX2ZQrPd_c39RAnvCCY4qCNuoaGDOdJjSCcJHeOxVDmrIHuHvrZRJEwGvxm4Xke3ixUMXZQNuZ4Eh3CuTtbXOJ16GwbeLgY7gZuxAtHcWNzAds3VW0RfVNlp1zwk6H8slrLMVbufH6ZeuhuBlbwH18q4P5hoclemNwf7Rvlqq75LjrzJmoh-G6OrOW66wfgH1nkznIMvr3vM8mlU3NdxR_4sJtmo4uJcd1Mb6PWeguQz4fgg9_-3aOBTbgqafzRMft6cCnrXH4wNhnO2rtQacPgwk2RDCsBqkzpckXWSjUebBXrH8O-u2I7xt0VUIVhp6R1EbcL2yXr8pQ-ZdogSzQcHPyXKJpz1sAYtp9HKRTUJtAGPw3JzJrPLMPGCgMONyrGTN5jHNc4cBwiaz_qNAP6knhgpIrLk3xmjH6fJIPMnRu24mpgk1opIlJ4sYNecCovRbEu4qah5joql87_JPBGFu7vwntZDLRZ9cGh9aZuVNVZeA==&xkcb=SoDt6_M3GSicP7gHvj0DbzkdCdPP&p=8&fvj=0&vjs=3
9,9,"Senior Data Analyst, Client Ops - X Delivery",Boston Consulting Group,"Bengaluru, Karnataka",,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JCLxsMmJvGzlX6BzyZBoOYkYeUbPulJkZK9_hFAmrY0lmXLv_aNoZzUqIn1HNHl81WBolZ497oGhVJZ9arIr5ICGyQMmW8j5fES4qE2zF5g6Z3tRqYwsRi9IpcVsxY2D9SDmnynufq4EhELKln6fUFpn9Det2SxRZ4QZRXYVRWdCxhAmktVksnQ-0aHkRDov6ZTI6KfwrnE_7FIkHAGXe8G2PTXLjj0sxmtyThaBEbjfweF5od9iRtfYa4PJQu15wEBymdwNNCQmO3ewLCC70ksDJoTvO7M8wNLDtCnvzG5mao-kkBvevv5gyIReJalXVjO7rMz5PPwB9ZVviuEb05TTaRlL_gWkY8s4pbhgwTqQJl7Ew2K_tWYtFeeMfWd1QxuG5DugqlY8WSqY7xKSqZT-01w_-nRpJesJkfvyBf_Hc0lhAlnUJq2gg7bvzUHG9kdSRCgT8htB96gNAwiewdjDc-1sNi5z5RZZ9k2xQ4_MC22ihwahpzICWyp4noDRiwjSsrEgyb5q2eD3pJoLUdjhpzX_p5Swyh7BhAt_qwyxC6XNQZsgTX0hvUXWEEwlqcUtq0pb2dFfbT1g_xBeYYRGmXgfd6fh0XNt8YkTR88P3V8LAwBk3z7gW4KilWRJWKz8A0BbPwh7qxWGYq6HH-LhBpeRr02uD9BtSBWh4ih2K8j757noRpIx8FnsXQ9EkjTp4SzSO7QKqCJlkAl5lc5tRPKOoBjgCIFR3oOs7K3pyOdMRJN9xsDhRR772tCDEGBdNQeZKpF6RkvfBF38OZK_1-K6OqEBcoinKxm2HgWGtkoO4wumKIJK4PzKrgLq9TSafi9ZPXTP-KW4MKHts7lkBhfEhm_Km4jPWe5XnM-xZV43T8tXSMf2MKBqYLQjufwdTAZXuKCCIdGk-WLCrrUf3LGCmvWR3Akxzn6sI5hiZaTrHosLSuKIQYMr3RziEstqtRivgm2_V4X7p4bX2EvH1HdCb9a32k_z4cUpcHYVPHvy8bkjqx9ZGlbfxMP-JzUHHPTRQfKDgWMZslc66uWBjFvJ-YRgaBd53w9aDMdiuzcbsh2kdHk3T-1DGSRNLO5uobpHgFsSOcI513v8v8XoFi8ZbbqwmCEy0B8gsGMy_f5zD0Dq6c5_McgkLNvtXzWGEGnVisbjhmH_lsUtGiO_BQbzKCV4R7ICq-v1lzGfDv2d7NYeJTorCEptS9iBvzWtmP0Sqm7DjTR68L6MmNjGGf1ofPpje6PLTDnOhlVjbct9TjagI7xLpBjyIGO4TA==&xkcb=SoBZ6_M3GSicP7gHvj0CbzkdCdPP&p=9&fvj=0&vjs=3
